danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.51,0.237,-16.021,1,0.034,0.743,0.0,0.176,0.635,87.813,4,jazz,2
0.395,0.674,-4.626,1,0.028,0.127,3.37e-05,0.332,0.585,185.647,4,country,4
0.673,0.981,-3.591,1,0.0425,0.084,0.0226,0.35,0.662,134.985,4,techno,5
0.411,0.712,-10.942,0,0.0996,0.053,0.529,0.987,0.617,93.707,4,jazz,4
0.619,0.806,-4.8,0,0.0483,0.272,0.0,0.0671,0.877,95.0,4,dance,5
0.151,0.125,-20.414,1,0.0386,0.808,0.308,0.121,0.29,150.812,4,classical,1
0.56,0.872,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,4,rock,5
0.324,0.0438,-33.04,0,0.0401,0.993,0.937,0.0713,0.307,110.226,4,classical,1
0.333,0.907,-3.191,1,0.0959,0.153,0.0,0.395,0.353,187.826,4,country,5
0.425,0.375,-13.693,0,0.0353,0.467,0.525,0.133,0.179,116.99,4,techno,2
0.221,0.962,-3.654,0,0.194,7.99e-05,6.2e-05,0.491,0.147,173.942,4,metal,5
0.664,0.66,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,4,techno,4
0.375,0.952,-4.189,1,0.255,0.000111,0.0,0.188,0.612,174.036,4,acoustic,5
0.691,0.697,-6.187,0,0.0294,0.0408,0.695,0.0471,0.661,107.301,4,jazz,4
0.555,0.919,-8.982,1,0.0372,0.00177,0.505,0.0609,0.644,135.985,4,techno,5
0.655,0.499,-10.039,0,0.0444,0.566,0.768,0.111,0.266,140.002,4,jazz,3
0.346,0.905,-7.508,0,0.0457,0.0253,0.0318,0.987,0.221,139.166,4,rock,5
0.665,0.64,-12.267,1,0.0427,0.000808,0.852,0.51,0.0727,124.013,4,techno,4
0.552,0.836,-5.608,1,0.0453,0.00942,0.0,0.372,0.432,140.496,4,pop,5
0.517,0.887,-7.637,0,0.0732,0.000244,0.00258,0.151,0.531,166.008,4,metal,5
0.461,0.816,-6.612,1,0.0651,0.0369,0.88,0.251,0.279,111.093,4,classical,5
0.538,0.291,-8.937,0,0.0286,0.85,4.38e-06,0.133,0.285,92.405,4,jazz,2
0.656,0.817,-4.296,0,0.0435,0.22,0.0,0.304,0.862,130.448,4,country,5
0.474,0.518,-8.14,1,0.0513,0.257,1.97e-05,0.0743,0.228,156.738,3,pop,3
0.373,0.914,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,4,acoustic,5
0.15,0.017,-24.737,1,0.0407,0.986,0.842,0.0657,0.0342,66.692,3,classical,1
0.415,0.168,-12.223,1,0.0404,0.972,0.000585,0.113,0.235,90.321,3,acoustic,1
0.256,0.916,-3.383,0,0.0761,1.09e-05,1.01e-05,0.208,0.41,169.11,4,metal,5
0.58,0.877,-4.193,0,0.0395,0.00122,0.0,0.322,0.614,129.968,4,metal,5
0.5,0.681,-7.053,1,0.0478,0.233,0.0,0.0623,0.511,140.564,4,rock,4
0.443,0.96,-5.481,1,0.0661,0.000127,0.875,0.194,0.533,174.011,4,techno,5
0.382,0.0847,-21.505,1,0.0421,0.988,0.897,0.103,0.0638,131.392,4,classical,1
0.716,0.509,-7.736,1,0.0319,0.65,7.68e-06,0.109,0.346,120.126,3,acoustic,3
0.772,0.665,-3.947,1,0.0349,0.0136,0.012,0.0905,0.838,115.138,4,dance,4
0.473,0.871,-4.893,1,0.0456,0.0216,0.0,0.0525,0.47,146.975,4,rock,5
